2	-24287623.207654
2	-24287623.221892
2	-24287623.207052
2	-24287623.207633
2	-24251614.003898
3	-23813649.594983
3	-23814130.260042
3	-23814130.149348
3	-23814130.340665
3	-23813646.522570
4	-23451060.120986
4	-23448991.161818
4	-23451060.087272
4	-23451060.031462
4	-23451060.120286
5	-23134304.651700
5	-23138095.432286
5	-23134304.773002
5	-23134304.598162
5	-23134304.616160
6	-22845806.397898
6	-22845802.433931
6	-22845800.376968
6	-22845800.373866
6	-22845803.913578
7	-22585433.322309
7	-22585433.631313
7	-22585433.498071
7	-22585433.891930
7	-22585433.809981
8	-22412444.190210
8	-22412626.396368
8	-22412443.940303
8	-22428006.624498
8	-22412444.178246
9	-22261391.341827
9	-22257592.495920
9	-22256348.802933
9	-22262594.381041
9	-22257244.343685
10	-22106352.835203
10	-22107761.211961
10	-22106352.659799
10	-22107761.355279
10	-22118930.152160
11	-21981373.092318
11	-21982911.213671
11	-22005336.772960
11	-21963947.986362
11	-21963947.995447
12	-21861554.490619
12	-21839201.160855
12	-21839205.531493
12	-21839201.220871
12	-21855364.125818
13	-21725327.404261
13	-21725327.764021
13	-21728458.037532
13	-21725327.503848
13	-21725328.003054
14	-21636242.883186
14	-21645230.338547
14	-21622289.173315
14	-21619719.415000
14	-21622288.520948
15	-21511736.344796
15	-21517531.421055
15	-21511736.486710
15	-21511736.320299
15	-21516790.120290
16	-21409548.516243
16	-21409548.471490
16	-21409548.890681
16	-21409548.609345
16	-21409550.846113
17	-21377691.441452
17	-21352106.204479
17	-21338745.742366
17	-21377712.831719
17	-21422635.229231
18	-21281479.191802
18	-21286556.732502
18	-21281315.430962
18	-21281314.479060
18	-21276579.588490
19	-21231766.246421
19	-21219160.411837
19	-21269797.935999
19	-21219137.978137
19	-21252167.807676
20	-21204111.057103
20	-21183694.477926
20	-21184091.447625
20	-21203976.181395
20	-21213491.670324
