C16_11,627349,494396,295724,.788,.598,.471
C16_12,2670386,2145555,1024607,.803,.477,.383
C16_13,1036655,815901,459880,.787,.563,.443
C16_14,1426958,1123268,598680,.787,.532,.419
C16_15,4925164,3892034,1692157,.790,.434,.343
C16_16,4244386,3338660,1513053,.786,.453,.356
C16_17,714731,564430,330350,.789,.585,.462
C16_18,674478,528181,313402,.783,.593,.464
C16_19,756320,599713,343858,.792,.573,.454
C16_20,2779338,2203721,1058415,.792,.480,.380
C16_21,408080,321420,177219,.787,.551,.434
C16_22,1100908,874545,482078,.794,.551,.437
C16_23,751325,593217,347864,.789,.586,.463
C16_24,558737,437367,263558,.782,.602,.471
C16_25,1147771,909555,499695,.792,.549,.435
C17_01,3382250,2642730,1254165,.781,.474,.370
C17_02,4706346,3703536,1608789,.786,.434,.341
C17_03,2932165,2332545,1107428,.795,.474,.377
C17_04,622048,485113,289472,.779,.596,.465
C17_05,667228,521396,310409,.781,.595,.465
C17_06,1197968,943248,522562,.787,.554,.436
C17_07,1615825,1271413,666671,.786,.524,.412
C17_08,1428542,1128362,601516,.789,.533,.421
C17_09,1140707,891782,499211,.781,.559,.437
C17_10,441512,349692,192181,.792,.549,.435
C17_11,661569,525336,311160,.794,.592,.470
C17_12,621337,486962,292518,.783,.600,.470
C18_01,764150,602305,351259,.788,.583,.459
C18_02,982619,779369,395544,.793,.507,.402
C18_03,639160,501996,266743,.785,.531,.417
C18_04,491990,388073,212527,.788,.547,.431
C19_01,1302329,1029729,560631,.790,.544,.430
C19_02,384150,305877,189033,.796,.618,.492
C20_01,1064365,848852,470066,.797,.553,.441
C21_01,1084715,841512,475156,.775,.564,.438
C21_02,510732,401836,245011,.786,.609,.479
C21_03,828966,651167,375217,.785,.576,.452
C21_04,1126588,891120,491888,.790,.551,.436
C21_05,483922,380861,232225,.787,.609,.479
C21_06,1052464,824139,461372,.783,.559,.438
C21_07,665609,525198,309170,.789,.588,.464
C21_08,739302,587360,339347,.794,.577,.459
C21_09,623055,489068,289157,.784,.591,.464
C22_01,1035303,813374,412099,.785,.506,.398
C22_02,779110,611759,356011,.785,.581,.456
C22_03,773362,606336,355258,.784,.585,.459
C22_04,735805,583537,338048,.793,.579,.459
C22_05,1873016,1473709,763299,.786,.517,.407
C22_06,491875,389131,236697,.791,.608,.481
C22_07,1516046,1191877,637666,.786,.535,.420
C22_08,792156,624441,360483,.788,.577,.455
C22_09,2269111,1786879,895305,.787,.501,.394
C22_10,677133,530144,312408,.782,.589,.461
C22_11,1164789,913665,502945,.784,.550,.431
C23_01,1190219,935772,519777,.786,.555,.436
C23_02,2762629,2170809,1052123,.785,.484,.380
C23_03,1259866,994706,542575,.789,.545,.430
C23_04,1814641,1425702,744833,.785,.522,.410
C23_05,729968,575152,336716,.787,.585,.461
C23_06,868112,686867,390747,.791,.568,.450
C23_07,677656,534802,313177,.789,.585,.462
C23_08,3570422,2817099,1304785,.789,.463,.365
C23_09,2460453,1957827,958139,.795,.489,.389
C23_10,1513491,1188537,630490,.785,.530,.416
C23_11,698724,553192,321494,.791,.581,.460
C23_12,298635,234538,148524,.785,.633,.497
C23_13,1039304,821737,461149,.790,.561,.443
C23_14,610863,478031,252312,.782,.527,.413
C23_15,2568172,2017748,1005009,.785,.498,.391
C23_16,4305838,3384516,1516738,.786,.448,.352
C23_17,1845338,1454083,753366,.787,.518,.408
C23_18,1230774,969002,526204,.787,.543,.427
C23_19,4020631,3214879,1446177,.799,.449,.359
C24_01,533950,421470,256259,.789,.608,.479
C24_02,855284,673653,348847,.787,.517,.407
C24_03,1733259,1369986,715805,.790,.522,.412
C24_04,696096,548226,296452,.787,.540,.425
C24_05,3404606,2591337,1228949,.761,.474,.360
C24_06,5300718,4023289,1768625,.759,.439,.333
C24_07,45288,34357,25543,.758,.743,.564
C24_08,5444127,4209099,1695825,.773,.402,.311
C24_09,1076156,858100,438917,.797,.511,.407
C24_10,3203804,2443120,1157659,.762,.473,.361
C24_11,1491416,1175177,586367,.787,.498,.393
C24_12,567744,447272,241568,.787,.540,.425
C24_13,479598,375688,208051,.783,.553,.433
C24_14,211202,159946,104864,.757,.655,.496
C24_15,2989067,2292297,1108415,.766,.483,.370
C24_16,16856,13066,10143,.775,.776,.601
C24_17,5356526,4160798,1793471,.776,.431,.334
C24_18,808871,620503,353959,.767,.570,.437
C24_19,4248302,3341217,1362648,.786,.407,.320
C24_20,6249237,4780762,2016989,.765,.421,.322
C24_21,2089669,1583939,812266,.757,.512,.388
C30_01,2105135,1595582,819102,.757,.513,.389
C30_02,2460630,1906240,934724,.774,.490,.379
C30_03,13253004,10431197,3339881,.787,.320,.252
C31_01,979047,766189,428860,.782,.559,.438
C31_02,207624,165073,97440,.795,.590,.469
