pop1,pop2,UnweightFst,WeightFst
GSJS_CS11,STRT,0.046065,0.080662
GSJS_CS11,STWA,0.044700,0.078912
GSJS_CS16,GSJS_CS22A,0.038429,0.066167
GSJS_CS16,GSJS_D01,0.033649,0.075709
GSJS_CS16,GSJS_D09,0.040364,0.069636
GSJS_CS16,GSJS_NS03,0.038136,0.035670
GSJS_CS16,GSJS_NS05,0.039948,0.036708
GSJS_CS16,GSJS_SS19,0.034525,0.043297
GSJS_CS16,SPKR,0.052062,0.113355
GSJS_CS16,SPSH,0.047858,0.096614
GSJS_CS16,STCO,0.061450,0.159242
GSJS_CS16,STMR,0.056829,0.126262
GSJS_CS16,STPR_BT2,0.048248,0.096431
GSJS_CS16,STPR_FT1,0.049078,0.094024
GSJS_CS16,STRT,0.036634,0.064654
GSJS_CS16,STWA,0.034327,0.061906
GSJS_CS22A,GSJS_D01,0.039047,0.087072
GSJS_CS22A,GSJS_D09,0.046875,0.082293
GSJS_CS22A,GSJS_NS03,0.046391,0.050727
GSJS_CS22A,GSJS_NS05,0.048178,0.051217
GSJS_CS22A,GSJS_SS19,0.042209,0.057657
GSJS_CS22A,SPKR,0.054938,0.125974
GSJS_CS22A,SPSH,0.050953,0.108722
GSJS_CS22A,STCO,0.064222,0.168463
GSJS_CS22A,STMR,0.059949,0.141305
GSJS_CS22A,STPR_BT2,0.051546,0.110761
GSJS_CS22A,STPR_FT1,0.054302,0.107792
GSJS_CS22A,STRT,0.039491,0.077443
GSJS_CS22A,STWA,0.037120,0.076166
GSJS_D01,GSJS_D09,0.027511,0.019957
GSJS_D01,GSJS_NS03,0.035085,0.045161
GSJS_D01,GSJS_NS05,0.035062,0.045435
GSJS_D01,GSJS_SS19,0.040616,0.061567
GSJS_D01,SPKR,0.053079,0.133379
GSJS_D01,SPSH,0.048365,0.115119
GSJS_D01,STCO,0.063321,0.107742
GSJS_D01,STMR,0.058516,0.150482
GSJS_D01,STPR_BT2,0.049313,0.118906
GSJS_D01,STPR_FT1,0.053145,0.112872
GSJS_D01,STRT,0.034289,0.085189
GSJS_D01,STWA,0.031453,0.083886
GSJS_D09,GSJS_NS03,0.034303,0.048438
GSJS_D09,GSJS_NS05,0.034970,0.049764
GSJS_D09,GSJS_SS19,0.037239,0.055849
GSJS_D09,SPKR,0.060279,0.127908
GSJS_D09,SPSH,0.054406,0.109815
GSJS_D09,STCO,0.071397,0.099473
GSJS_D09,STMR,0.068332,0.145002
GSJS_D09,STPR_BT2,0.059504,0.113102
GSJS_D09,STPR_FT1,0.053329,0.107617
GSJS_D09,STRT,0.040295,0.078419
GSJS_D09,STWA,0.038559,0.077721
GSJS_NS03,GSJS_NS05,0.025220,0.014391
GSJS_NS03,GSJS_SS19,0.032274,0.028902
GSJS_NS03,SPKR,0.062341,0.098163
GSJS_NS03,SPSH,0.054864,0.080060
GSJS_NS03,STCO,0.085408,0.135895
GSJS_NS03,STMR,0.072285,0.114660
GSJS_NS03,STPR_BT2,0.061215,0.081667
GSJS_NS03,STPR_FT1,0.050947,0.078312
GSJS_NS03,STRT,0.039682,0.047641
GSJS_NS03,STWA,0.038816,0.044433
GSJS_NS05,GSJS_SS19,0.032920,0.029404
GSJS_NS05,SPKR,0.064324,0.098062
GSJS_NS05,SPSH,0.056588,0.079923
GSJS_NS05,STCO,0.087074,0.135393
GSJS_NS05,STMR,0.073900,0.114080
