SampleID,Path,Species,Project,SampleSite,Valley,CollectionYear,CollectionDate,WaypointName,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes
COR_16,/home/mlacava/align/RAD_alignments/COR_16_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Sam Keely,Nevada Department of Wildlife,2022,Melanie LaCava,10,D12,NA
COR_17,/home/mlacava/align/RAD_alignments/COR_17_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Sam Keely,Nevada Department of Wildlife,2022,Melanie LaCava,10,E12,NA
COR_18,/home/mlacava/align/RAD_alignments/COR_18_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,10,F12,NA
COR_19,/home/mlacava/align/RAD_alignments/COR_19_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,10,G12,NA
COR_20,/home/mlacava/align/RAD_alignments/COR_20_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,E3,NA
D01_10,/home/mlacava/align/RAD_alignments/D01_10_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,E3,NA
D01_1,/home/mlacava/align/RAD_alignments/D01_1_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,D2,NA
D01_2,/home/mlacava/align/RAD_alignments/D01_2_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,E2,NA
D01_3,/home/mlacava/align/RAD_alignments/D01_3_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,F2,NA
D01_4,/home/mlacava/align/RAD_alignments/D01_4_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,G2,NA
D01_5,/home/mlacava/align/RAD_alignments/D01_5_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,H2,NA
D01_6,/home/mlacava/align/RAD_alignments/D01_6_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,A3,NA
D01_7,/home/mlacava/align/RAD_alignments/D01_7_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,B3,NA
D01_8,/home/mlacava/align/RAD_alignments/D01_8_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,C3,NA
D01_9,/home/mlacava/align/RAD_alignments/D01_9_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,NA,D01,11,709843.8984,4539970.967,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,D3,NA
D09_01,/home/mlacava/align/RAD_alignments/D09_01_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,F10,NA
D09_02,/home/mlacava/align/RAD_alignments/D09_02_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,G10,NA
D09_03,/home/mlacava/align/RAD_alignments/D09_03_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,H10,NA
D09_04,/home/mlacava/align/RAD_alignments/D09_04_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,A11,NA
D09_05,/home/mlacava/align/RAD_alignments/D09_05_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,B11,NA
D09_06,/home/mlacava/align/RAD_alignments/D09_06_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,C11,NA
D09_07,/home/mlacava/align/RAD_alignments/D09_07_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,D11,NA
