SampleID,Species,Project,SampleSite,Valley,CollectionYear,CollectionDate,WaypointName,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes
COR_04,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,H10,
COR_05,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,A11,
COR_06,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,C11,
COR_09,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,E11,
COR_10,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,F11,
COR_11,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,A12,
COR_12,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,B12,
COR_15,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,C12,
COR_16,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Sam Keely,Nevada Department of Wildlife,2022,Melanie LaCava,10,D12,
COR_17,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Sam Keely,Nevada Department of Wildlife,2022,Melanie LaCava,10,E12,
COR_18,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,10,F12,
COR_19,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,10,G12,
COR_03,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,A3,
COR_07,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,B3,
COR_08,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,C3,
COR_13,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,D3,
COR_20,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,E3,
STR_01,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,F3,
STR_02,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,G3,
STR_03,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,H3,
STR_04,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,A4,
STR_05,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,B4,
STR_06,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,C4,
STR_07,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,D4,
STR_08,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,E4,
STR_09,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,F4,
STR_10,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,G4,
STR_11,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,H4,
STR_12,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,A5,
STR_13,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,B5,
STR_14,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,C5,
STR_15,Relict dace,,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,D5,
NSR_01,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Sam Keely,Nevada Department of Wildlife,2022,Melanie LaCava,14,E5,
NSR_02,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Sam Keely,Nevada Department of Wildlife,2022,Melanie LaCava,14,F5,
NSR_04,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,G5,
NSR_06,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,H5,
NSR_07,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,A6,
NSR_08,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,B6,
NSR_10,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,C6,
NSR_11,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,D6,
NSR_12,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,E6,
NSR_15,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,F6,
COR_14,Relict dace,,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,15,C10,
NSR_03,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,15,D10,
NSR_05,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,15,E10,
NSR_09,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,15,F10,
NSR_13,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,15,G10,
NSR_14,Relict dace,,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Deprtment of Wildlife,2022,Melanie LaCava,15,H10,
