BSN_01	17235,13162,9568
BSN_02	1045107,791943,253488
BSN_03	989324,748020,248769
BSN_04	125765,95451,40294
BSN_05	19841,15252,9505
BSN_06	1521445,1155687,358267
BSN_07	241651,182310,68116
BSN_08	45635,34361,22014
BSN_09	77382,58082,37252
BSN_10	3404986,2587559,729942
BSN_11	220655,168084,61769
BSN_12	165998,125301,50658
BSN_13	89019,67694,28433
BSN_14	382489,289557,107361
BSN_15	2824084,2141115,613918
BSN_16	140402,107248,43316
BSN_17	924626,733246,364236
BSN_18	570198,429009,150167
BSN_19	471774,355476,126041
BSN_20	239750,181365,71909
BSN_21	58403,45082,25138
BSN_22	549321,414897,143588
BSN_23	1916472,1445191,438263
BSN_24	342877,258294,95361
BSN_25	552040,439585,234801
BSS_01	4023863,3045693,853713
BSS_02	3024184,2280087,653728
BSS_03	70898,54495,26354
BSS_04	51231,38413,18662
BSS_05	1606148,1217790,379470
BSS_06	127570,96043,35898
BSS_07	274929,209245,78789
BSS_08	1453655,1093350,342883
BSS_09	816705,613737,208535
BSS_10	2330000,1761586,521787
BSS_11	501535,378673,134465
BSS_12	274350,208472,79955
BSS_13	18578362,14351939,4361216
BSS_14	571208,432835,149134
BSS_15	112165,85516,34251
BSS_16	136586,103762,41710
BSS_17	6407818,4845776,1242151
BSS_18	677790,513557,173369
BSS_19	21967062,17373236,4827272
BSS_20	8259508,6387920,2328042
BSS_21	929561,703346,231411
BSS_22	2408954,1826718,539269
BSS_23	297915,226853,83809
BSS_24	793640,601225,210701
BSS_25	4397346,3322025,891711
C02_01	341229,257718,94821
C02_02	606247,459719,159625
C02_03	20171,15640,8602
C02_04	390334,295179,102526
C02_05	3882225,2927315,809772
C02_06	82143,62084,26641
C02_07	1415470,1070568,328682
C02_08	935315,705419,230355
C02_09	485462,368066,128575
C02_10	507978,383827,133275
C02_11	37663,28552,13718
C02_12	744269,562858,185222
C02_13	1057275,800771,257118
C02_14	74347,56607,24438
C02_15	762044,573201,191716
C02_16	1150469,872068,277154
C02_17	631518,497683,266664
C02_18	184079,138819,53705
C02_19	123085,93273,36821
C02_20	1747867,1326336,401331
C02_21	4582743,3469515,939254
C02_22	18068,14029,10203
C02_23	256303,192710,71089
C02_24	654676,501055,279288
C03_01	329407,249749,93160
C03_02	110135,83537,36261
C03_03	250208,188641,72502
C03_04	4170343,3150197,873220
C03_05	1010924,761299,246706
C03_06	52069,39496,18426
C03_07	422414,317397,110710
C03_08	542251,408596,140228
C04_01	177602,133805,51616
C04_02	34143,26056,14316
C04_03	100770,76429,31799
C04_04	161870,122083,44572
C05_01	714603,540943,187587
C06_01	6099805,4726577,1830874
C08_01	216579,163733,65511
C10_01	1350704,1016352,316167
C14_01	44921,34290,19722
C15_01	159050,119231,45444
C15_02	738321,557901,188066
C15_03	72829,54579,23971
C15_04	238236,180147,67558
C15_05	58240,44119,19211
C15_06	1662556,1304371,690815
C15_07	3866564,3043186,1406766
C15_08	3615206,2845480,1330440
C15_09	1000530,785883,450785
C15_10	1536611,1215476,645352
C15_11	715632,566844,301322
C15_12	1807787,1423701,742106
C15_13	801187,629693,367265
C15_14	1165063,907107,512585
C15_15	1256924,987170,544664
C16_01	3253831,2548096,1219655
C16_02	902304,715550,410943
C16_03	811268,640634,370358
C16_04	978486,787446,444329
C16_05	1234629,976891,530923
C16_06	750745,596441,348083
C16_07	4020620,3177171,1448292
C16_08	1130267,890811,495071
C16_09	6798867,5345139,2214519
C16_10	1495408,1198054,626631
C16_11	629759,497578,297692
C16_12	2679955,2161698,1033121
C16_13	1040512,821652,463588
C16_14	1431966,1130305,602984
C16_15	4944699,3917300,1705902
C16_16	4260605,3359064,1525140
C16_17	717334,567724,332610
C16_18	676980,531660,315804
C16_19	759156,602749,345830
C16_20	2789689,2217349,1066053
